  Frequency            , dB( V(Vs4)/ V(Ve))   
  3.357376142429e+00  ,-4.007106695898e+01  
  3.365115693755e+00  ,-3.999348563138e+01  
  3.372873086589e+00  ,-3.991594972084e+01  
  3.380648362060e+00  ,-3.983845920375e+01  
  3.388441561392e+00  ,-3.976101405664e+01  
  3.396252725904e+00  ,-3.968361425549e+01  
  3.404081897010e+00  ,-3.960625977554e+01  
  3.411929116219e+00  ,-3.952895059184e+01  
  3.419794425137e+00  ,-3.945168667890e+01  
  3.427677865464e+00  ,-3.937446801115e+01  
  3.435579478999e+00  ,-3.929729456196e+01  
  3.443499307633e+00  ,-3.922016630493e+01  
  3.451437393358e+00  ,-3.914308321294e+01  
  3.459393778261e+00  ,-3.906604525846e+01  
  3.467368504525e+00  ,-3.898905241365e+01  
  3.475361614432e+00  ,-3.891210465008e+01  
  3.483373150360e+00  ,-3.883520193911e+01  
  3.491403154786e+00  ,-3.875834425168e+01  
  3.499451670283e+00  ,-3.868153155830e+01  
  3.507518739526e+00  ,-3.860476382897e+01  
  3.515604405283e+00  ,-3.852804103328e+01  
  3.523708710425e+00  ,-3.845136314059e+01  
  3.531831697919e+00  ,-3.837473011988e+01  
  3.539973410834e+00  ,-3.829814193955e+01  
  3.548133892336e+00  ,-3.822159856761e+01  
  3.556313185690e+00  ,-3.814509997178e+01  
